MesseageID,MessageComments,MessageTitle,MessageButton,MessageICon
M00001,販売管理システムを終了してよろしいですか？,終了確認,1,32
M10001,データを追加してよろしいですか？,追加確認,1,32
M10002,データを追加しました。,追加確認,0,64
M10003,データを更新してよろしいですか？,更新確認,1,32
M10004,データを更新しました。,更新確認,0,64
M10005,データを削除してよろしいですか？,削除確認,1,32
M10006,データを削除しました。,削除確認,0,64
M10007,部署マスタデータをインポートしました。,インポート確認,0,64
M10008,部署マスタを閉じてよろしいですか？,フォーム確認,1,32
M10009,部署名を入力してください。,入力確認,0,16
M10010,部署名は半角で50文字までです。,入力確認,0,16
M10011,1～3の値を入力してください。,入力確認,0,16
M10012,指定した部署IDは存在しません。,入力確認,0,16
